Category: All categories

Week,ホロライブ: (Japan)
2017-02-26,0
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,0
2017-09-24,<1
2017-10-01,0
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,0
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,0
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,<1
2018-04-01,<1
2018-04-08,0
2018-04-15,<1
2018-04-22,<1
2018-04-29,<1
2018-05-06,<1
2018-05-13,<1
2018-05-20,<1
2018-05-27,<1
2018-06-03,<1
2018-06-10,<1
2018-06-17,<1
2018-06-24,<1
2018-07-01,<1
2018-07-08,<1
2018-07-15,<1
2018-07-22,<1
2018-07-29,0
2018-08-05,<1
2018-08-12,<1
2018-08-19,<1
2018-08-26,<1
2018-09-02,<1
2018-09-09,<1
2018-09-16,<1
2018-09-23,<1
2018-09-30,<1
2018-10-07,<1
2018-10-14,<1
2018-10-21,<1
2018-10-28,<1
2018-11-04,<1
2018-11-11,<1
2018-11-18,<1
2018-11-25,<1
2018-12-02,<1
2018-12-09,<1
2018-12-16,<1
2018-12-23,<1
2018-12-30,1
2019-01-06,1
2019-01-13,<1
2019-01-20,1
2019-01-27,1
2019-02-03,1
2019-02-10,<1
2019-02-17,1
2019-02-24,<1
2019-03-03,1
2019-03-10,<1
2019-03-17,1
2019-03-24,1
2019-03-31,1
2019-04-07,1
2019-04-14,1
2019-04-21,1
2019-04-28,1
2019-05-05,2
2019-05-12,2
2019-05-19,2
2019-05-26,2
2019-06-02,2
2019-06-09,2
2019-06-16,3
2019-06-23,3
2019-06-30,2
2019-07-07,5
2019-07-14,3
2019-07-21,3
2019-07-28,4
2019-08-04,3
2019-08-11,4
2019-08-18,2
2019-08-25,3
2019-09-01,4
2019-09-08,5
2019-09-15,5
2019-09-22,5
2019-09-29,4
2019-10-06,5
2019-10-13,8
2019-10-20,7
2019-10-27,7
2019-11-03,8
2019-11-10,9
2019-11-17,8
2019-11-24,8
2019-12-01,10
2019-12-08,11
2019-12-15,9
2019-12-22,11
2019-12-29,17
2020-01-05,15
2020-01-12,13
2020-01-19,18
2020-01-26,21
2020-02-02,29
2020-02-09,24
2020-02-16,22
2020-02-23,22
2020-03-01,21
2020-03-08,20
2020-03-15,23
2020-03-22,25
2020-03-29,22
2020-04-05,26
2020-04-12,23
2020-04-19,24
2020-04-26,26
2020-05-03,28
2020-05-10,30
2020-05-17,31
2020-05-24,37
2020-05-31,43
2020-06-07,38
2020-06-14,39
2020-06-21,39
2020-06-28,40
2020-07-05,38
2020-07-12,38
2020-07-19,37
2020-07-26,40
2020-08-02,33
2020-08-09,41
2020-08-16,44
2020-08-23,39
2020-08-30,40
2020-09-06,38
2020-09-13,42
2020-09-20,44
2020-09-27,45
2020-10-04,42
2020-10-11,44
2020-10-18,51
2020-10-25,50
2020-11-01,51
2020-11-08,53
2020-11-15,60
2020-11-22,53
2020-11-29,54
2020-12-06,58
2020-12-13,60
2020-12-20,59
2020-12-27,60
2021-01-03,57
2021-01-10,58
2021-01-17,58
2021-01-24,59
2021-01-31,56
2021-02-07,58
2021-02-14,58
2021-02-21,58
2021-02-28,57
2021-03-07,52
2021-03-14,52
2021-03-21,52
2021-03-28,57
2021-04-04,56
2021-04-11,55
2021-04-18,59
2021-04-25,54
2021-05-02,56
2021-05-09,61
2021-05-16,63
2021-05-23,62
2021-05-30,61
2021-06-06,62
2021-06-13,63
2021-06-20,65
2021-06-27,68
2021-07-04,65
2021-07-11,67
2021-07-18,63
2021-07-25,60
2021-08-01,59
2021-08-08,64
2021-08-15,61
2021-08-22,63
2021-08-29,63
2021-09-05,67
2021-09-12,65
2021-09-19,65
2021-09-26,68
2021-10-03,67
2021-10-10,68
2021-10-17,65
2021-10-24,68
2021-10-31,74
2021-11-07,68
2021-11-14,71
2021-11-21,82
2021-11-28,100
2021-12-05,86
2021-12-12,87
2021-12-19,92
2021-12-26,95
2022-01-02,95
2022-01-09,95
2022-01-16,87
2022-01-23,85
2022-01-30,82
2022-02-06,80
2022-02-13,87
